[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'DejaVu Sans' (DejaVuSans-BoldOblique.ttf) oblique normal bold normal>) = 1.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'cmss10' (cmss10.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-BoldOblique.ttf) oblique normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal regular normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymReg.ttf) normal normal regular normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymBol.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe MDL2 Assets' (segmdl2.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Candara' (Candarai.ttf) italic normal 400 normal>) = 11.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Comic Sans MS' (comicbd.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft JhengHei' (msjhl.ttc) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Trebuchet MS' (trebucit.ttf) italic normal 400 normal>) = 11.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Symbol' (symbol.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft Yi Baiti' (msyi.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Calibri' (calibrii.ttf) italic normal 400 normal>) = 11.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Courier New' (courbd.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Arial' (ariali.ttf) italic normal 400 normal>) = 7.413636363636363
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI' (segoeui.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft JhengHei' (msjhbd.ttc) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Palatino Linotype' (palabi.ttf) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Verdana' (verdanaz.ttf) italic normal bold normal>) = 4.971363636363637
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft YaHei' (msyhl.ttc) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Verdana' (verdanab.ttf) normal normal bold normal>) = 3.9713636363636367
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Candara' (Candaraz.ttf) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'DengXian' (Dengl.ttf) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Wingdings' (wingding.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI' (seguibli.ttf) italic normal black normal>) = 11.525
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Times New Roman' (timesbd.ttf) normal normal roman normal>) = 10.145
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Candara' (Candaral.ttf) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Calibri' (calibrili.ttf) italic normal light normal>) = 11.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Arial' (ariblk.ttf) normal normal black normal>) = 6.888636363636364
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe Script' (segoesc.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft PhagsPa' (phagspa.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Constantia' (constani.ttf) italic normal 400 normal>) = 11.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Consolas' (consolaz.ttf) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Gadugi' (gadugib.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Myanmar Text' (mmrtextb.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Mongolian Baiti' (monbaiti.ttf) normal normal 400 normal>) = 10.05
